TeamId,Squad,Competition,Country,GamesPlayed,Rank,GoalDiff,Attendance,PlUsed,PlAge,Possession,TotalGlsAsist,PrgCariers,PrgPasses,GlsAsistPer90,Sh,SoTPercentage,GlsperSoT,DistofShot,PassesCmp,PassCmpPer,PrgDist
87,Tottenham,eng Premier League,eng ENG,38,8,7,"61,585",29,27.6,50,114,692,1449,3,512,36.3,0.34,16.7,15972,81.2,92697
88,Toulouse,fr Ligue 1,fr FRA,38,13,-6,"23,966",29,25.1,51.3,83,648,1737,2.18,453,37.7,0.27,16.3,15392,80,102525
89,Troyes,fr Ligue 1,fr FRA,38,19,-36,"10,004",32,25.8,42.6,69,638,1235,1.82,390,33.3,0.29,18.2,12751,78.7,85483
90,Udinese,it Serie A,it ITA,38,12,-1,"21,616",30,26.1,48,87,646,1354,2.29,503,28.8,0.31,18.5,13391,79.8,93352
91,Union Berlin,de Bundesliga,de GER,34,4,13,"21,822",28,27.9,43.8,87,375,1012,2.56,374,30.2,0.41,17.9,10312,71.5,82612
92,Valencia,es La Liga,es ESP,38,16,-3,"40,602",28,24.2,52,63,786,1472,1.66,481,29.3,0.25,17.4,13592,77.7,86465
93,Valladolid,es La Liga,es ESP,38,18,-30,"20,943",36,27.4,48.7,56,610,1244,1.47,443,30.9,0.21,19.6,12627,76.9,87767
94,Villarreal,es La Liga,es ESP,38,5,19,"16,406",32,28.4,56.9,90,846,1622,2.37,499,37.7,0.28,18,16634,83.7,101196
95,Werder Bremen,de Bundesliga,de GER,34,13,-13,"41,556",25,27.4,49.3,87,412,1140,2.56,363,37.5,0.33,17.9,12443,75.2,93050
96,West Ham,eng Premier League,eng ENG,38,14,-13,"62,462",25,28.2,42.1,66,614,1274,1.74,466,28.5,0.26,17.3,12369,75.6,84296
97,Wolfsburg,de Bundesliga,de GER,34,8,9,"25,394",28,24.8,50.6,99,455,1306,2.91,401,34.4,0.37,16.9,12571,77.9,94282
98,Wolves,eng Premier League,eng ENG,38,13,-27,"31,482",32,26.7,49.9,40,610,1343,1.05,409,29.1,0.21,18,14554,79.6,87310
